title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#Cars3,Adventure,20170615,G,65.0,175000000,53688680,152901115,383601115,0.30679245714285713,0.32464637660862705,2.098012034877425,0.9849885180867424,35.07188116194525,0.311829,100
#Ferdinand,Adventure,20171215,PG,65.33,111000000,13401586,83362967,290151548,0.120735009009009,0.3410109342890007,1.0154323384944557,-0.19572057902640005,13.038503015631553,0.16974899999999998,100
#TigerZindaHai,Action,20171218,NOT RATED,65.5,15000000,1787108,5560921,76607340,0.11914053333333335,0.3494411609728297,-0.6084372060799981,-0.5361104774097497,10.582836333406666,0.22135100000000002,100
#AnnabelleCreation,Horror,20170811,R,65.67,15000000,35006404,102092201,305492201,2.333760266666667,0.35787138765665866,-0.6084372060799981,0.43745999125930396,234.000380830762,-0.017029411764705876,68
#AlienCovenant,Horror,20170519,R,66.0,97000000,36160621,74262031,238862031,0.3727899072164949,0.3742359453370324,0.7786180299106812,0.471287065307947,39.374418827513104,0.22141399999999997,100
#Unforgettable,Thriller/Suspense,20170421,TV-14,67.0,12000000,4785431,11368012,15668012,0.3987859166666667,0.4238255140654377,-0.6591831293479498,-0.4482374915303619,38.74675906832343,0.256774,100
#GoldenExits,Drama,20180209,R,67.33,10000000,11719,37801,37801,0.0011719,0.4401900717458114,-0.6930137448599176,-0.5881424741383945,-1.311918621390895,0.0,1
#KongSkullIsland,Adventure,20170310,PG-13,68.0,185000000,61025472,168052812,561137727,0.32986741621621624,0.473415082793843,2.267165112437264,1.2000106554001688,38.12734312765307,0.070617,100
#KickboxerRetaliation,Action,20180126,R,68.0,13000000,3061,4537,31049,0.00023546153846153847,0.473415082793843,-0.6422678215919659,-0.5883962174181357,-1.3220990197882403,0.3916244897959184,98
#GoinginStyle,Comedy,20170407,PG-13,68.67,24000000,11932330,45018541,78714211,0.4971804166666667,0.5066400938418747,-0.4561994362761431,-0.23878062016980114,49.29092108389279,0.29564999999999997,10
