title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#BattleoftheSexes,Drama,20170922,PG-13,75.33,25000000,518332,12638526,17826663,0.02073328,0.8387980279020074,-0.4392841285201592,-0.573294975388155,-0.6848762113944618
#GuardiansoftheGalaxyVol2,Action,20170505,PG-13,75.67,200000000,146510104,389813101,863197744,0.73255052,0.8556705170268626,2.5208947287770225,3.7053410886592477,12.984898983122381
#It,Horror,20170908,R,76.33,35000000,123403419,327481748,697459228,3.5258119714285714,0.8884229959162868,-0.27013105096032025,3.028144734322353,17.252017327886385
#Wonder,Drama,20171117,PG,77.0,20000000,27547866,132221523,295514690,1.3773933,0.9216717244858542,-0.5238606673000786,0.21886979788958463,4.967730552964945
#TheirFinest,Comedy,20170406,R,78.0,11795877,76197,3603484,12276852,0.006459629919844027,0.9712966925001336,-0.6626359327130245,-0.5862527930121345,-0.8444659364776278
#Detroit,Drama,20170728,R,78.33,34000000,350190,16790139,21545532,0.010299705882352942,0.9876729319448458,-0.28704635871630413,-0.5782227765595872,-0.42491986224357386
#DarkestHour,Drama,20171122,PG-13,78.33,30000000,175006,56088295,142488295,0.005833533333333333,0.9876729319448458,-0.3547075897402397,-0.5833569602877228,-0.5162479783708394
#OnlytheBrave,Drama,20171020,PG-13,78.67,38000000,6002665,18340051,21049847,0.15796486842105262,1.004545421069701,-0.21938512769236856,-0.4125635544348887,0.4339277897707128
#Stronger,Drama,20170922,R,79.0,30000000,1611040,4211129,5003992,0.05370133333333333,1.0209216605144131,-0.3547075897402397,-0.5412705688601411,-0.25522306694610875
#AMonsterCalls,Drama,20170106,PG-13,79.0,43000000,30909,3740823,46422066,0.0007188139534883721,1.0209216605144131,-0.1348085889124491,-0.5875800655523198,-0.2868906176422104
#WindRiver,Thriller/Suspense,20170803,R,79.33,11000000,161558,33800859,40352966,0.014687090909090908,1.0372978999591254,-0.6760984371039337,-0.5837510859086469,-0.7622414362348293
#JohnWickChapter2,Action,20170210,R,79.67,40000000,30436123,92029184,171529184,0.760903075,1.0541703890839804,-0.18555451218040078,0.303517037889092,3.758359177681764
#TheLegoBatmanMovie,Adventure,20170210,PG,79.67,80000000,53003468,175750384,310940997,0.66254335,1.0541703890839804,0.491057798058955,0.9649067509120961,5.462671738967128
