title,genre,release,value,budget,opening,domestic,worldwide,ratio
Gong fu yu jia,Action,20170127,0.0,65000000,111979,362657,254569616,0.0017227538461538463
A Cure for Wellness,Thriller/Suspense,20170215,51.0,40000000,4356941,8106986,24499901,0.108923525
Todos Queremos a Alguien,Romantic Comedy,20170210,0.0,2000000,924201,1915789,6491385,0.4621005
Jolly LLB 2,Black Comedy,20170209,61.5,4480000,774355,1654254,25461514,0.1728470982142857
I Am Not Your Negro,Documentary,20170203,90.33,1000000,686378,7123919,7664759,0.686378
Chapter & Verse,Drama,20170208,79.67,40000000,32713,84147,84147,0.000817825
The Shack,Drama,20170303,38.0,20000000,16172119,57386418,96938619,0.80860595
Before I Fall,Drama,20170302,61.67,5000000,4690214,12241072,16170174,0.9380428
The Ottoman Lieutenant,Drama,20170310,37.33,40000000,149830,240978,397852,0.00374575
Song to Song,Drama,20170317,51.67,10000000,50559,443684,1041573,0.0050559
Raw,Horror,20170310,80.33,3500000,24825,514870,3104666,0.007092857142857143
Phoenix Forgotten,Thriller/Suspense,20170421,43.0,2800000,1816499,3600146,3600146,0.6487496428571429
Gifted,Drama,20170412,69.67,7000000,446380,24801212,31681993,0.06376857142857142
Their Finest,Romantic Comedy,20170406,78.0,11795877,76197,3603484,12276852,0.006459629919844027
Chuck,Action,20170527,82.0,615,34565,322005,369123,56.203252032520325
Stalker,Drama,20170515,90.5,1,20540,268101,285044,20540.0
Cars 3,Adventure,20170615,65.0,175000000,53688680,152901115,383601115,0.30679245714285713
The Book of Henry,Drama,20170616,38.67,10000000,1424540,4288104,4379905,0.142454
The Beguiled,Western,20170623,73.0,10500000,229292,10576669,28039038,0.021837333333333334
The Bad Batch,Horror,20170623,52.33,6000000,89111,180851,182226,0.014851833333333333
Band Aid,Comedy,20170602,73.33,10000000,29013,248370,248370,0.0029013
Detroit,Drama,20170728,78.33,34000000,350190,16790139,21545532,0.010299705882352942
Wolf Warrior 2,Action,20170727,59.0,29700000,219022,2721100,861434171,0.007374478114478115
A Ghost Story,Drama,20170707,81.33,100000,104030,1594798,1939199,1.0403
Kidnap,Thriller/Suspense,20170804,47.0,21000000,10016323,30718107,32719421,0.4769677619047619
Jab Harry Met Sejal,Romantic Comedy,20170804,36.0,16600000,1284740,1284740,11176544,0.07739397590361445
Toilet: Ek Prem Katha,Comedy,20170811,75.0,3700000,709420,709420,20364534,0.19173513513513513
Wind River,Thriller/Suspense,20170803,79.33,11000000,161558,33800859,40352966,0.014687090909090908
American Assassin,Thriller/Suspense,20170914,47.0,33000000,14846778,36249674,58659727,0.44990236363636366
mother!,Thriller/Suspense,20170913,70.33,33000000,7534673,17800004,42558972,0.22832342424242424
Stronger,Drama,20170922,79.0,30000000,1611040,4211129,5003992,0.05370133333333333
Judwaa 2,Action,20170929,45.0,10000000,638045,1431255,26797432,0.0638045
Battle of the Sexes,Drama,20170922,75.33,25000000,518332,12638526,17826663,0.02073328
Chasing the Dragon,Action,20170928,70.0,200000000,138346,456854,86855981,0.00069173
The Mountain Between Us,Thriller/Suspense,20171005,51.0,35000000,10551336,30348555,59721799,0.30146674285714287
Suburbicon,Black Comedy,20171026,48.5,10000000,2840246,5775178,10244113,0.2840246
Same Kind of Different as Me,Drama,20171020,50.0,6500000,2591985,6423605,6423605,0.3987669230769231
The Florida Project,Drama,20171007,88.0,2000000,156833,5888312,8280740,0.0784165
Darkest Hour,Drama,20171122,78.33,30000000,175006,56088295,142488295,0.005833533333333333
Star Wars Ep. VIII: The Last Jedi,Action,20171213,0.0,200000000,220009584,619483244,1321513738,1.10004792
Pitch Perfect 3,Comedy,20171221,44.33,45000000,19928525,104897530,184554107,0.4428561111111111
All the Money in the World,Thriller/Suspense,20171221,73.67,50000000,5584684,25076269,53733187,0.11169368
Tiger Zinda Hai,Action,20171218,65.5,15000000,1787108,5560921,76607340,0.11914053333333334
Phantom Thread,Drama,20171225,87.0,35000000,216495,20713025,41413025,0.006185571428571428
Wonder Wheel,Drama,20171201,46.0,10000000,125570,1403237,7969645,0.012557
Hostiles,Western,20171222,70.33,55000000,22849,29614666,30801855,0.0004154363636363636
Insidious: The Last Key,Horror,20180103,46.33,10000000,29581355,67347895,165329498,2.9581355
The Commuter,Action,20180111,59.67,30000000,13701452,36317285,86290783,0.45671506666666667
Proud Mary,Action,20180112,37.0,14000000,9959053,20868638,21579735,0.7113609285714285
Kickboxer: Retaliation,Action,20180126,68.0,10000000,3061,4537,31049,0.0003061
Every Day,Drama,20180222,46.33,4900000,3016149,5630476,6340900,0.615540612244898
Golden Exits,Drama,20180209,67.33,10000000,11719,37801,37801,0.0011719
The Strangers: Prey at Night,Horror,20180307,,12500000,10402271,10402271,10542271,0.83218168
