title,genre,release,value,budget,opening,domestic,worldwide
Phantom Thread,Drama,2017-12-25,87.0,35000000,216495,20713025,41413025
Wonder Wheel,Drama,2017-12-01,46.0,10000000,125570,1403237,7969645
Hostiles,Western,2017-12-22,70.33,55000000,22849,29614666,30801855
Insidious: The Last Key,Horror,2018-01-03,46.33,10000000,29581355,67347895,165329498
The Commuter,Action,2018-01-11,59.67,30000000,13701452,36317285,86290783
Proud Mary,Action,2018-01-12,37.0,14000000,9959053,20868638,21579735
Kickboxer: Retaliation,Action,2018-01-26,68.0,10000000,3061,4537,31049
Every Day,Drama,2018-02-22,46.33,4900000,3016149,5630476,6340900
Golden Exits,Drama,2018-02-09,67.33,10000000,11719,37801,37801
The Strangers: Prey at Night,Horror,2018-03-07,,12500000,10402271,10402271,10542271
